Model.Year,Eng.Displacement,No.Cylinders,Aspiration,No.Gears,Lockup.Torque.Converter,Drive.Sys,Max.Ethanol,Fuel.Type,Comb.FE
2020,3,6,TC,9,Y,4,10,GPR,9.947168
2020,2.5,4,N,6,Y,4,10,G,9.495024
2020,2.5,4,N,6,Y,4,10,G,9.495024
2020,2.7,4,TC,8,Y,R,10,G,9.04288
2020,4.3,6,N,6,Y,R,10,G,7.686448
2020,5.3,8,N,6,Y,R,10,G,7.686448
2020,5.3,8,N,8,Y,R,10,G,8.590736
2020,2.7,4,TC,8,Y,R,10,G,9.04288
2020,4.3,6,N,6,Y,R,10,G,7.686448
2020,5.3,8,N,8,Y,R,10,G,9.04288
2020,5.7,8,N,8,Y,R,10,GM,8.590736
2020,2.7,4,TC,8,Y,4,10,G,9.04288
2020,5.3,8,N,6,Y,4,10,G,7.686448
2020,6.2,8,N,10,Y,4,10,GPR,7.686448
2020,4.3,6,N,6,Y,4,10,G,7.686448
2020,5.3,8,N,6,Y,4,85,G,7.234304
2020,5.3,8,N,6,Y,4,10,G,7.686448
2020,6.2,8,N,10,Y,4,10,GPR,7.686448
2020,5.3,8,N,8,Y,4,10,G,8.138592
2020,6.2,8,N,10,Y,4,10,GPR,7.686448
2020,3.6,6,N,8,Y,4,10,G,8.590736
2020,3.6,6,N,6,N,4,10,G,8.590736
2020,3.6,6,N,8,Y,4,10,G,9.495024
2020,5.7,8,N,8,Y,4,10,GM,8.590736
2020,5.7,8,N,6,Y,P,15,G,6.330016
2020,2,4,N,8,Y,F,15,G,11.3036
2020,2.5,4,N,6,Y,F,15,G,9.947168
2020,2,4,TC,7,Y,R,10,GPR,9.947168
2020,2,4,TC,7,Y,R,10,GPR,9.947168
2020,2,4,TC,7,Y,R,10,GPR,9.947168
2020,2,4,TC,7,Y,R,10,GPR,9.495024
2020,2.4,4,N,9,Y,F,10,G,10.851456
2020,5.3,8,N,6,Y,R,10,G,6.78216
2020,5.3,8,N,6,Y,4,10,G,6.78216
2020,5.3,8,N,6,Y,4,10,G,6.78216
2020,3.5,6,N,10,Y,F,10,G,9.947168
2020,3.3,6,N,8,Y,F,15,G,9.495024
2020,3.5,6,N,8,Y,A,15,G,9.04288
2020,2.5,4,N,6,Y,F,10,G,11.3036
2020,2,4,TC,9,Y,F,10,GPR,11.755744
2020,2.5,4,N,9,Y,F,10,G,10.399312
2020,3.6,6,N,9,Y,F,10,G,9.495024
2020,1.5,4,TC,9,Y,F,10,G,12.207888
2020,2,4,TC,9,Y,F,10,GPR,10.851456
2020,2,4,N,6,Y,F,15,G,13.56432
2020,2.4,4,N,8,Y,F,15,G,11.3036
2020,3.5,6,N,7,Y,F,15,GP,9.947168
2020,3.3,6,N,8,Y,F,15,G,9.947168
2020,3.5,6,N,8,Y,F,15,G,9.947168
2020,3,6,N,7,Y,A,10,GP,12.207888
2020,3.5,6,N,9,Y,A,10,GP,9.495024
2020,2,4,TC,10,Y,A,10,GP,10.399312
2020,2,4,TC,10,Y,A,10,GP,10.399312
2020,3,6,TC,8,Y,A,10,GP,7.234304
2020,2,4,TC,8,Y,A,10,GP,11.755744
2020,3,6,TC,8,Y,A,10,GP,7.234304
2020,3,6,TC,8,Y,A,10,GP,7.234304
2020,3,6,TC,8,Y,A,10,GP,10.399312
2020,2,4,TC,8,Y,A,10,GP,11.3036
2020,2,4,TC,9,Y,A,10,GPR,10.851456
2020,3.6,6,N,9,Y,A,10,G,9.04288
2020,3.6,6,N,9,Y,A,10,G,9.04288
2020,3.6,6,N,9,Y,A,10,G,9.495024
2020,2,4,TC,9,Y,A,10,GPR,10.851456
2020,1.4,4,TC,6,Y,A,10,G,11.755744
2020,3.5,6,N,6,Y,A,10,G,9.495024
2020,1.6,4,TC,7,N,A,15,G,12.207888
2020,2,4,N,6,Y,A,15,G,12.660032
2020,2,4,TC,8,Y,A,15,G,9.947168
2020,2,4,N,6,Y,A,15,G,10.399312
2020,2.4,4,N,6,Y,A,15,G,10.399312
2020,3.5,6,N,7,Y,A,15,GP,9.947168
2020,5,8,SC,8,Y,A,15,GP,8.138592
2020,3.2,6,N,9,Y,A,10,G,9.947168
2020,2,4,TC,9,Y,A,10,G,9.947168
2020,3.6,6,N,8,Y,4,10,G,9.04288
2020,2,4,TC,8,Y,4,10,G,9.495024
2020,2,4,TC,8,Y,4,10,G,9.495024
2020,3.6,6,N,8,Y,4,10,G,9.04288
2020,2.4,4,N,6,Y,A,15,G,10.399312
2020,3.3,6,N,8,Y,A,15,G,9.04288
2020,3.8,6,N,8,Y,A,15,G,9.495024
2020,2,4,TC,9,Y,A,15,GP,10.399312
2020,2,4,TC,9,Y,A,15,GP,10.399312
2020,2,4,TC,8,Y,A,15,GP,10.399312
2020,2,4,TC,8,Y,A,15,GP,9.947168
2020,3,6,SC,8,Y,A,15,GP,9.04288
2020,2.5,4,N,6,N,A,15,G,14.016464
2020,3.5,6,N,8,Y,A,15,G,9.947168
2020,2,4,TC,9,Y,4,10,GPR,10.851456
2020,2.5,4,N,1,Y,A,10,G,12.207888
2020,3,6,TC,7,N,A,10,GPR,9.04288
2020,2.4,4,TC,8,Y,A,10,G,11.755744
2020,2,4,TC,8,Y,A,10,GPR,11.3036
2020,3.6,6,N,9,Y,F,10,G,9.495024
2020,5.3,8,N,6,Y,R,10,G,8.138592
2020,6.2,8,N,10,Y,R,10,GPR,7.686448
2020,3.6,6,N,8,Y,R,10,G,9.495024
2020,5.7,8,N,8,Y,R,10,GM,7.686448
2020,3.3,6,N,10,Y,R,15,G,12.660032
2020,5.3,8,N,6,Y,R,85,G,8.138592
2020,5.3,8,N,6,Y,R,85,G,8.138592
2020,6.2,8,N,10,Y,R,10,GPR,7.686448
2020,3,6,TC,10,Y,R,15,G,9.495024
2020,4,6,N,5,Y,R,15,G,7.686448
2020,5.7,8,N,6,Y,R,15,G,6.78216
2020,2,4,TC,8,Y,F,10,GPR,11.3036
2020,4.4,8,TC,8,Y,A,10,GP,8.138592
2020,3.6,6,N,9,Y,A,10,G,9.04288
2020,6.2,8,N,10,Y,4,10,GPR,7.686448
2020,5.3,8,N,6,Y,4,10,G,7.234304
2020,5.3,8,N,6,Y,4,85,G,7.234304
2020,5.3,8,N,6,Y,4,85,G,7.686448
2020,6.2,8,N,10,Y,4,10,GPR,7.686448
2020,5.7,8,N,8,Y,A,10,GM,7.686448
2020,6.4,8,N,8,Y,A,10,GP,6.78216
2020,2.3,4,TC,10,Y,P,15,G,10.399312
2020,3.3,6,N,10,Y,P,85,G,8.590736
2020,3.3,6,N,10,Y,P,15,G,11.3036
2020,5.3,8,N,6,Y,4,10,G,7.686448
2020,6.2,8,N,10,Y,4,10,GPR,7.686448
2020,5.3,8,N,6,Y,4,10,G,7.234304
2020,5.3,8,N,6,Y,4,85,G,7.234304
2020,6.2,8,N,10,Y,4,10,GPR,7.234304
2020,3.8,6,N,8,Y,A,15,G,9.495024
2020,5.7,8,N,8,Y,A,10,GM,7.686448
2020,6.4,8,N,8,Y,A,10,GP,6.78216
2020,3,6,SC,8,Y,4,15,GP,8.138592
2020,5.7,8,N,8,Y,4,15,GPR,6.330016
2020,3.5,6,N,6,N,A,15,GPR,13.56432
2020,3,6,TC,10,Y,P,15,G,9.04288
